Year,County,Region,Child_Population,% of Children in Total Population,Total_Population
2018,Hemphill,1-Lubbock,1371,31,4426
2018,Henderson,4-Tyler,16997,21,80755
2018,Hidalgo,11-Edinburg,260012,31,851285
2018,Hill,7-Austin,8485,24,35617
2018,Hockley,1-Lubbock,6429,27,24257
2018,Hood,3-Arlington,11377,20,57119
2018,Hopkins,4-Tyler,8668,24,36710
2018,Houston,5-Beaumont,4519,20,22832
2018,Howard,9-Midland,9201,23,39836
2018,Hudspeth,10-El Paso,751,22,3398
2018,Hunt,3-Arlington,21534,23,93305
2018,Hutchinson,1-Lubbock,5407,25,21563
2018,Irion,9-Midland,272,18,1518
2018,Jack,2-Abilene,1864,21,8866
2018,Jackson,8-San Antonio,3996,26,15520
2018,Jasper,5-Beaumont,8365,23,35649
2018,Jeff Davis,10-El Paso,326,15,2151
2018,Jefferson,5-Beaumont,59854,23,257363
2018,Jim Hogg,11-Edinburg,1473,29,5122
2018,Jim Wells,11-Edinburg,11864,28,42509
2018,Johnson,3-Arlington,42846,26,167450
2018,Jones,2-Abilene,3300,17,19790
2018,Karnes,8-San Antonio,3226,21,15238
2018,Kaufman,3-Arlington,31052,26,120400
2018,Kendall,8-San Antonio,9665,22,43173
2018,Kenedy,11-Edinburg,98,21,464
2018,Kent,2-Abilene,159,20,791
2018,Kerr,8-San Antonio,10264,20,51716
2018,Kimble,9-Midland,813,19,4387
2018,King,1-Lubbock,52,17,303
2018,Kinney,8-San Antonio,694,20,3467
2018,Kleberg,11-Edinburg,7160,23,31028
2018,Knox,2-Abilene,983,25,3888
2018,La Salle,8-San Antonio,1573,20,8000
2018,Lamar,4-Tyler,11364,23,50031
2018,Lamb,1-Lubbock,3399,26,13018
2018,Lampasas,7-Austin,4473,22,20727
2018,Lavaca,8-San Antonio,4824,24,20324
2018,Lee,7-Austin,4183,24,17407
2018,Leon,7-Austin,3856,22,17504
2018,Liberty,6-Houston,20441,25,83276
2018,Limestone,7-Austin,5248,22,23556
2018,Lipscomb,1-Lubbock,886,25,3573
2018,Live Oak,11-Edinburg,2398,20,11912
2018,Llano,7-Austin,3098,16,19408
2018,Loving,9-Midland,13,14,90
2018,Lubbock,1-Lubbock,73819,24,308208
2018,Lynn,1-Lubbock,1386,25,5642
2018,Madison,7-Austin,3161,22,14312
2018,Marion,4-Tyler,1923,19,10389
2018,Martin,9-Midland,1599,28,5757
2018,Mason,9-Midland,745,19,3904
2018,Matagorda,6-Houston,9084,25,37045
2018,Maverick,8-San Antonio,17852,30,58820
2018,McCulloch,9-Midland,1910,22,8576
2018,McLennan,7-Austin,63861,26,249470
2018,McMullen,11-Edinburg,123,16,766
2018,Medina,8-San Antonio,11460,23,49615
2018,Menard,9-Midland,412,19,2187
2018,Midland,9-Midland,48738,28,175090
2018,Milam,7-Austin,5992,24,24662
2018,Mills,7-Austin,1028,21,4885
2018,Mitchell,2-Abilene,1842,19,9764
2018,Montague,2-Abilene,4283,22,19298
2018,Montgomery,6-Houston,146359,25,578410
2018,Moore,1-Lubbock,6436,30,21660
2018,Morris,4-Tyler,2769,22,12551
2018,Motley,1-Lubbock,222,19,1177
2018,Nacogdoches,5-Beaumont,13544,21,63839
2018,Navarro,3-Arlington,11694,24,47962
2018,Newton,5-Beaumont,2699,19,13847
2018,Nolan,2-Abilene,4001,26,15524
2018,Nueces,11-Edinburg,93522,25,374431
2018,Ochiltree,1-Lubbock,3331,30,11073
2018,Oldham,1-Lubbock,582,27,2177
2018,Orange,5-Beaumont,19593,23,85320
2018,Palo Pinto,3-Arlington,6263,22,27931
2018,Panola,4-Tyler,5951,24,24471
2018,Parker,3-Arlington,30404,23,131578
2018,Parmer,1-Lubbock,2643,28,9387
2018,Pecos,9-Midland,3980,24,16397
