Year,County,Region,Placement Intention,Count,Average Months since Termination of Parental Rights
2021,Lavaca,8-San Antonio,Permanent,2,0.419354838709677
2021,Lee,7-Austin,Not Permanent,1,2.29032258064516
2021,Lee,7-Austin,Permanent,7,5.1889400921659
2021,Leon,7-Austin,Not Permanent,3,43.2258064516129
2021,Leon,7-Austin,Permanent,1,29.7741935483871
2021,Liberty,6-Houston,Not Permanent,4,58.258064516129
2021,Liberty,6-Houston,Permanent,7,21.6774193548387
2021,Limestone,7-Austin,Not Permanent,5,18.7096774193548
2021,Limestone,7-Austin,Permanent,8,5.625
2021,Lipscomb,1-Lubbock,Not Permanent,1,2.64516129032258
2021,Live Oak,11-Edinburg,Not Permanent,3,3
2021,Live Oak,11-Edinburg,Permanent,1,11.5483870967742
2021,Llano,7-Austin,Not Permanent,2,34
2021,Llano,7-Austin,Permanent,8,7.07661290322581
2021,Lubbock,1-Lubbock,Not Permanent,61,24.1269169751454
2021,Lubbock,1-Lubbock,Permanent,97,12.5557033588294
2021,Lynn,1-Lubbock,Not Permanent,2,34.8548387096774
2021,Madison,7-Austin,Permanent,4,10.2016129032258
2021,Marion,4-Tyler,Not Permanent,1,24.2903225806452
2021,Martin,9-Midland,Permanent,1,9.2258064516129
2021,Matagorda,6-Houston,Not Permanent,2,3.58064516129032
2021,Matagorda,6-Houston,Permanent,1,10.6129032258065
2021,Maverick,8-San Antonio,Not Permanent,5,21.4129032258065
2021,Maverick,8-San Antonio,Permanent,5,2.20645161290323
2021,McCulloch,9-Midland,Not Permanent,3,27
2021,McCulloch,9-Midland,Permanent,4,17.8548387096774
2021,McLennan,7-Austin,Not Permanent,38,28.081494057725
2021,McLennan,7-Austin,Permanent,162,13.0388291517324
2021,Medina,8-San Antonio,Not Permanent,13,25.5334987593052
2021,Medina,8-San Antonio,Permanent,17,6.76280834914611
2021,Menard,9-Midland,Permanent,2,8.54838709677419
2021,Midland,9-Midland,Not Permanent,13,25.4888337468983
2021,Midland,9-Midland,Permanent,9,2.53046594982079
2021,Milam,7-Austin,Not Permanent,6,7.22043010752688
2021,Milam,7-Austin,Permanent,11,7.50733137829912
2021,Mills,7-Austin,Not Permanent,2,20.1129032258065
2021,Mills,7-Austin,Permanent,2,4.12903225806452
2021,Mitchell,2-Abilene,Not Permanent,2,28.2258064516129
2021,Mitchell,2-Abilene,Permanent,4,5.96774193548387
2021,Montague,2-Abilene,Permanent,4,6.08064516129032
2021,Montgomery,6-Houston,Not Permanent,39,18.6071133167907
