Econ_Region,Year,County,Region,fips,lon,lat,Child_Population,Total_Population,DFPS_children_Total_County,Adopt_Need_Total_County,Homes_Total_County,Total_Families_Served_HOPES,Total_Families_Served_HIP,Total_Families_Served_TNFP,Total_Families_Served_THV_MIECHV,Total_Families_Served_THV_STATE,Total_Families_Served_THV,Physician_Access,Uninsured Rate,Graduation Rate,Personal Income per Capita,Average Wages,Population Density
Alamo,2012,Lavaca,8-San Antonio,48285,-96.93020993,29.38437003,4466,19441,27,2,4,NA,NA,NA,NA,NA,NA,181,22.7,87.2,39729,42720,146.1
Alamo,2012,Bexar,8-San Antonio,48029,-98.51966309,29.44884523,477045,1786596,5761,916,178,NA,NA,NA,NA,NA,NA,181,22.7,87.2,39729,42720,146.1
Alamo,2012,Atascosa,8-San Antonio,48013,-98.52741302,28.89418432,12852,46113,210,33,4,NA,NA,NA,NA,NA,NA,181,22.7,87.2,39729,42720,146.1
Alamo,2012,Medina,8-San Antonio,48325,-99.11008331,29.35520493,11672,46886,215,37,7,NA,NA,NA,NA,NA,NA,181,22.7,87.2,39729,42720,146.1
Alamo,2012,DeWitt,8-San Antonio,48123,-97.35666976,29.08201599,4463,20365,48,22,1,NA,NA,NA,NA,NA,NA,181,22.7,87.2,39729,42720,146.1
Alamo,2012,Frio,8-San Antonio,48163,-99.10826004,28.86726774,4282,17726,100,13,2,NA,NA,NA,NA,NA,NA,181,22.7,87.2,39729,42720,146.1
Alamo,2012,Victoria,8-San Antonio,48469,-96.97176602,28.79640594,22858,88690,227,38,11,NA,NA,NA,NA,NA,NA,181,22.7,87.2,39729,42720,146.1
Alamo,2012,Kerr,8-San Antonio,48265,-99.35016969,30.06153035,9989,50065,207,22,2,NA,NA,NA,NA,NA,NA,181,22.7,87.2,39729,42720,146.1
Alamo,2012,Wilson,8-San Antonio,48493,-98.08621015,29.17315896,11305,44597,88,14,4,NA,NA,NA,NA,NA,NA,181,22.7,87.2,39729,42720,146.1
Alamo,2012,Gillespie,8-San Antonio,48171,-98.94627245,30.31800246,4935,25054,56,11,NA,NA,NA,NA,NA,NA,NA,181,22.7,87.2,39729,42720,146.1
Alamo,2012,Guadalupe,8-San Antonio,48187,-97.94850308,29.58257236,37125,138339,250,46,10,NA,NA,NA,NA,NA,NA,181,22.7,87.2,39729,42720,146.1
Alamo,2012,Goliad,8-San Antonio,48175,-97.42646082,28.65708563,1587,7303,6,NA,2,NA,NA,NA,NA,NA,NA,181,22.7,87.2,39729,42720,146.1
Alamo,2012,Karnes,8-San Antonio,48255,-97.85960621,28.90493782,2986,14873,42,13,1,NA,NA,NA,NA,NA,NA,181,22.7,87.2,39729,42720,146.1
Alamo,2012,Bandera,8-San Antonio,48019,-99.24637282,29.74724753,3793,20612,63,18,2,NA,NA,NA,NA,NA,NA,181,22.7,87.2,39729,42720,146.1
Alamo,2013,Comal,8-San Antonio,48091,-98.27814516,29.80816362,27112,118614,243,23,6,NA,NA,NA,NA,NA,NA,184,22.4,87.7,40132,43291,148.8
Alamo,2013,Wilson,8-San Antonio,48493,-98.08621015,29.17315896,11322,45454,119,16,6,NA,NA,NA,NA,NA,NA,184,22.4,87.7,40132,43291,148.8
