long,lat,group,order,region,subregion,long.1,lat.1
-103.05218505859375,34.2972526550293,50,13048,texas,NA,-281529.51751190017,-1183305.9637622251
-103.05218505859375,34.3144416809082,50,13049,texas,NA,-281467.9304432892,-1181403.6540563556
-103.04645538330078,34.73270034790039,50,13050,texas,NA,-279438.74055854173,-1135125.8835232756
-103.04645538330078,34.93896484375,50,13051,texas,NA,-278694.7300291689,-1112289.1029365403
-103.04645538330078,35.17387771606445,50,13052,texas,NA,-277844.37187999306,-1086276.1705704748
-103.04645538330078,35.60932922363281,50,13053,texas,NA,-276259.62115984806,-1038044.9134258414
-103.04645538330078,35.72964859008789,50,13054,texas,NA,-275819.8035245106,-1024715.5320335387
-103.04645538330078,36.044776916503906,50,13055,texas,NA,-274663.91186342784,-989799.3359343478
-103.04645538330078,36.480220794677734,50,13056,texas,NA,-273057.2737561703,-941540.1356650814
-103.00062561035156,36.480220794677734,50,13057,texas,NA,-268951.66127059667,-941687.735621759
-102.15837097167969,36.49168395996094,50,13058,texas,NA,-193453.1251481105,-942731.1089379406
-102.01513671875,36.49168395996094,50,13059,texas,NA,-180618.2816885434,-943049.4647667203
-101.62552642822266,36.49168395996094,50,13060,texas,NA,-145703.2013116532,-943804.8685503273
-101.07548522949219,36.4859504699707,50,13061,texas,NA,-96412.19876932335,-945231.8296516107
-100.94371032714844,36.49168395996094,50,13062,texas,NA,-84593.27402542322,-944737.7902211664
-100.54263305664062,36.49168395996094,50,13063,texas,NA,-48641.9394197218,-945055.2766214403
-100.0040512084961,36.49168395996094,50,13064,texas,NA,-363.15576185546547,-945212.0844607096
-100.0040512084961,36.044776916503906,50,13065,texas,NA,-365.3488495168536,-994761.6269192252
-100.0040512084961,35.87862014770508,50,13066,texas,NA,-366.16031486226296,-1013179.9660984285
-100.00978088378906,35.615055084228516,50,13067,texas,NA,-887.1226136451074,-1042391.5059609641
-100.0040512084961,35.414520263671875,50,13068,texas,NA,-368.4156066171486,-1064613.6439559052
-100.00978088378906,35.17961120605469,50,13069,texas,NA,-892.2112069908594,-1090640.6970323012
-100.0040512084961,35.0306396484375,50,13070,texas,NA,-370.26852881200966,-1107143.8953467216
-100.0040512084961,34.74989318847656,50,13071,texas,NA,-371.61643390818574,-1138240.0428975448
-99.99832916259766,34.560813903808594,50,13072,texas,NA,153.63851964523965,-1159179.0841240103
-99.98686981201172,34.560813903808594,50,13073,texas,NA,1207.3602330413219,-1159178.9922810295
-99.94676208496094,34.560813903808594,50,13074,texas,NA,4895.385862289925,-1159177.5508906776
-99.91810607910156,34.560813903808594,50,13075,texas,NA,7530.390665614141,-1159175.4540401178
-99.88945770263672,34.549354553222656,50,13076,texas,NA,10166.18599248167,-1160441.3996635787
-99.84935760498047,34.52070999145508,50,13077,texas,NA,13859.131283425595,-1163607.580425407
-99.820709228515625,34.503517150878906,50,13078,texas,NA,16498.4142350035,-1165506.2123286629
-99.80924987792969,34.47487258911133,50,13079,texas,NA,17559.340040692416,-1168675.64955826
-99.75768280029297,34.43476486206055,50,13080,texas,NA,22317.726306619148,-1173104.441283493
-99.71757507324219,34.3889274597168,50,13081,texas,NA,26026.907759202553,-1178168.1590416962
-99.68892669677734,34.37746810913086,50,13082,texas,NA,28671.179005323887,-1179427.6903992952
-99.6602783203125,34.38319778442383,50,13083,texas,NA,31309.35426962654,-1178783.205866258
-99.60871124267578,34.37173843383789,50,13084,texas,NA,36067.09930854244,-1180031.5064668776
-99.591522216796875,34.37746810913086,50,13085,texas,NA,37648.73502558828,-1179389.6815177945
-99.57433319091797,34.41184616088867,50,13086,texas,NA,39215.799898396916,-1175575.6297434235
-99.56287384033203,34.41757583618164,50,13087,texas,NA,40268.56934019969,-1174935.8800440459
-99.4998550415039,34.41757583618164,50,13088,texas,NA,46073.85705363728,-1174903.858833411
-99.47119903564453,34.41184616088867,50,13089,texas,NA,48717.199594172715,-1175522.2610672524
-99.43109130859375,34.37746810913086,50,13090,texas,NA,52435.158590242616,-1179304.6463555584
-99.4081802368164,34.37746810913086,50,13091,texas,NA,54546.784408768006,-1179290.2245400825
-99.39098358154297,34.40038299560547,50,13092,texas,NA,56115.32600194626,-1176741.9616434094
-99.38525390625,34.440494537353516,50,13093,texas,NA,56614.250688170665,-1172297.024299958
-99.3738021850586,34.44622039794922,50,13094,texas,NA,57664.64034809624,-1171655.344992778
