"County","Per Capita Income","Total Personal Income","Median Household Income","Average Annual Pay","% of Population in Poverty","% of Population Under 18 in Poverty"
"Burnet","$49,731","$2,394,797,000","$62,827","$43,862","10.5","16.3"
"Caldwell","$34,617","$1,511,526,000","$55,301","$38,478","14.4","20.5"
"Calhoun","$46,208","$983,763,000","$55,909","$69,405","14.7","22.6"
"Callahan","$41,962","$585,075,000","$50,812","$41,919","12.1","18.7"
"Cameron","$29,928","$12,664,258,000","$40,893","$34,689","25.5","36.3"
"Camp","$37,111","$485,926,000","$47,091","$39,949","16.6","26.1"
"Carson","$48,571","$287,829,000","$69,760","$85,618","8.5","11"
"Cass","$37,566","$1,127,953,000","$44,529","$37,854","17.3","23.6"
"Castro","$64,427","$485,133,000","$51,736","$37,842","15.3","22.7"
"Chambers","$56,610","$2,481,633,000","$93,351","$68,196","8.6","11.9"
"Cherokee","$35,245","$1,855,486,000","$46,576","$37,122","16.5","22.7"
"Childress","$30,731","$224,520,000","$44,095","$39,493","21.9","25.9"
"Clay","$44,295","$463,811,000","$59,983","$38,090","11.5","16"
"Cochran","$39,333","$112,216,000","$43,742","$41,906","19.5","30.1"
"Coke","$41,669","$141,132,000","$48,435","$41,707","13.1","17.9"
"Coleman","$42,683","$348,937,000","$44,834","$32,780","17.7","30.4"
"Collin","$68,474","$70,852,208,000","$96,847","$68,366","6.1","6.8"
"Collingsworth","$42,026","$122,717,000","$40,314","$40,776","19.8","35.8"
"Colorado","$46,909","$1,008,214,000","$55,607","$44,297","13.6","20.9"
"Comal","$60,056","$9,381,221,000","$87,976","$45,313","6.7","9.4"
"Comanche","$43,242","$589,606,000","$54,122","$35,799","13.5","22.1"
"Concho","$35,758","$97,476,000","$43,321","$40,265","15.1","27"
"Cooke","$52,875","$2,181,468,000","$61,186","$48,263","12.7","18.4"
"Coryell","$35,570","$2,701,551,000","$53,083","$43,292","11.8","15.7"
"Cottle","$60,260","$84,244,000","$40,449","$45,590","18.9","32.5"
"Crane","$51,025","$244,768,000","$68,626","$58,450","9.6","13.6"
"Crockett","$44,458","$154,002,000","$54,165","$44,046","13.8","19.3"
"Crosby","$37,580","$215,596,000","$38,871","$39,051","22.1","33.6"
"Culberson","$59,506","$129,188,000","$44,462","$55,299","19.7","30.6"
"Dallam","$64,756","$471,877,000","$55,793","$45,744","11.4","17.4"
"Dallas","$62,782","$165,463,378,000","$61,807","$71,047","14","20.9"
"Dawson","$40,131","$510,783,000","$48,165","$41,594","20.6","28.9"
"Deaf Smith","$52,368","$971,214,000","$46,178","$43,165","17","24.8"
"Delta","$40,622","$216,558,000","$51,348","$27,058","16","25.5"
"Denton","$59,414","$52,712,796,000","$90,910","$51,064","6.5","7.1"
"DeWitt","$59,389","$1,197,273,000","$52,544","$47,891","17.1","24.3"
"Dickens","$33,843","$74,826,000","$41,973","$33,430","19.4","26.2"
"Dimmit","$38,800","$392,812,000","$40,315","$58,160","25.3","34.8"
